subID,age,parent speech rate,anaphora utterance rate,anaphora use ratio,child-driven prop,visual cue prop,overall accuracy,one accuracy,split accuracy,pronoun accuracy,verbal cue accuracy,parent instigated accuracy,extra cue accuracy,required extra cue accuracy,not required extra cue accuracy
1215,18.2,7.50304508,1.750710519,0.233333333,0.166666667,0.722222222,0.5,0,0,0.5,0.583333333,0.466666667,0.538461538,0.333333333,1
1226,18.4,23.17863506,8.777203719,0.378676471,0.43697479,0.630252101,0.512605042,0.285714286,0.25,0.537037037,0.568181818,0.318181818,0.533333333,0.391304348,0.75862069
1214,18.5,15.59840986,3.56912768,0.228813559,0.481481482,0.666666667,0.444444444,1,0,0.347826087,0.333333333,0.428571429,0.444444444,0.4,0.666666667
1210,19.2,8.045934158,1.866656725,0.232,0.081081081,0.513513514,0.702702703,0,0.555555556,0.75,0.75,0.735294118,0.736842105,0.7,0.777777778
1220,19.6,16.84839528,4.577309699,0.271676301,0.730769231,0.307692308,0.557692308,0.8,0,0.531914894,0.347826087,0.714285714,0.6875,0.636363636,0.8
1219,19.7,18.21337707,3.01545978,0.165562914,0.551724138,0.586206897,0.793103448,0,0,0.821428571,0.857142857,0.846153846,0.823529412,0.833333333,0.8
1202,20.7,11.41169083,2.745669975,0.240601504,0.470588235,0.411764706,0.705882353,1,0.5,0.724137931,0.608695652,0.666666667,0.714285714,0.8,0.666666667
1225,21.1,13.78851185,4.496253865,0.326086957,0.347826087,0.673913044,0.695652174,1,0,0.681818182,0.75,0.6,0.612903226,0.565217391,0.75
1218,21.5,18.22295731,7.336515283,0.402597403,0.324675325,0.571428571,0.454545455,0,0,0.466666667,0.442622951,0.461538462,0.5,0.75,0.40625
1221,21.6,13.66689639,4.008956276,0.293333333,0.565217391,0.434782609,0.608695652,0.666666667,1,0.578947368,0.714285714,0.5,0.6,0.4,0.8
1212,21.7,15.79216341,6.886117765,0.436046512,0.567901235,0.419753086,0.75308642,1,1,0.736842105,0.777777778,0.8,0.823529412,0.85,0.785714286
1223,21.8,21.69475265,7.898089673,0.3640553,0.19,0.7,0.63,0.833333333,0.666666667,0.6,0.604938272,0.679012346,0.7,0.692307692,0.704545455
1227,22,20.53897195,5.977760493,0.291044776,0.386363636,0.522727273,0.681818182,0.2,0,0.805555556,0.75862069,0.592592593,0.565217391,0.5625,0.571428571
1222,22.1,16.03630688,2.638885942,0.164556962,0.838709677,0.35483871,0.870967742,0,0,0.870967742,0.896551724,0.8,0.909090909,1,0.875
1231,22.1,13.67297071,4.004227136,0.292857143,0.558139535,0.511627907,0.604651163,1,0.5,0.6,0.571428571,0.473684211,0.545454545,0.529411765,0.6
1211,24.2,17.85475055,8.154138046,0.456692913,0.705882353,0.485294118,0.764705882,0,0,0.764705882,0.75,0.75,0.818181818,0.818181818,0.818181818
1201,24.3,10.98107252,2.255041678,0.205357143,0.36,0.52,0.6,0,0,0.6,0.636363636,0.4375,0.615384615,0.428571429,0.833333333
1207,25.3,15.96219672,5.104190812,0.319767442,0.267857143,0.339285714,0.482142857,1,0,0.472727273,0.529411765,0.536585366,0.368421053,0.3125,0.666666667