kid,subID,age,total utt w/ anaphora,multiple,split,total utt,START,END,runtime,anaphra/utt,% anaphora,mult/ana,% multiple,split/ana,%split
18625,1201,24.3,24,0,0,112,267.115839,879.077921,10.19936803,0.214285714,21.42857143,0,0,0,0
16963,1202,20.7,30,1,4,133,144.807936,844.090813,11.65471462,0.22556391,22.55639098,0.033333333,3.333333333,0.133333333,13.33333333
17275,1204,18.2,7,1,0,77,135.447752,442.525826,5.1179679,0.090909091,9.090909091,0.142857143,14.28571429,0,0
17718,1205,18.1,21,0,0,117,582.55449,1183.348491,10.01323335,0.179487179,17.94871795,0,0,0,0
19357,1206,17.5,19,1,0,86,130.553939,424.368515,4.8969096,0.220930233,22.09302326,0.052631579,5.263157895,0,0
17406,1207,25.3,63,0,0,172,162.941837,809.469391,10.77545923,0.36627907,36.62790698,0,0,0,0
17662,1208,15.2,30,0,2,145,243.795225,758.286065,8.574847333,0.206896552,20.68965517,0,0,0.066666667,6.666666667
18459,1209,16.2,8,0,0,64,310.073835,548.853387,3.9796592,0.125,12.5,0,0,0,0
17402,1210,19.2,31,4,8,125,266.841236,1198.989058,15.53579703,0.248,24.8,0.129032258,12.90322581,0.258064516,25.80645161
18796,1211,24.2,49,2,0,127,0.713296,427.490471,7.112952917,0.385826772,38.58267717,0.040816327,4.081632653,0,0
17757,1212,21.7,70,1,1,172,228.850976,882.339655,10.89147798,0.406976744,40.69767442,0.014285714,1.428571429,0.014285714,1.428571429
18419,1213,17.3,54,1,14,258,123.026608,1044.876558,15.36416583,0.209302326,20.93023256,0.018518519,1.851851852,0.259259259,25.92592593
19505,1214,18.5,27,0,0,118,131.195469,585.087889,7.564873667,0.228813559,22.88135593,0,0,0,0
17592,1215,18.2,10,0,0,60,217.60731,697.412504,7.996753233,0.166666667,16.66666667,0,0,0,0
17874,1216,17.8,26,0,4,93,269.600889,759.712204,8.168521917,0.279569892,27.95698925,0,0,0.153846154,15.38461538
17527,1218,21.5,47,5,2,154,186.739589,693.792305,8.4508786,0.305194805,30.51948052,0.106382979,10.63829787,0.042553191,4.255319149
17565,1219,19.7,21,0,0,151,451.924231,949.360811,8.290609667,0.139072848,13.90728477,0,0,0,0
17843,1220,19.6,45,2,0,173,262.361697,878.444109,10.2680402,0.260115607,26.01156069,0.044444444,4.444444444,0,0
19812,1221,21.6,20,0,1,75,92.262487,421.525245,5.487712633,0.266666667,26.66666667,0,0,0.05,5
17782,1222,22.1,35,1,2,158,6.456121,597.614676,9.852642583,0.221518987,22.15189873,0.028571429,2.857142857,0.057142857,5.714285714
17608,1223,21.8,58,1,3,217,87.245184,687.390307,10.00241872,0.267281106,26.7281106,0.017241379,1.724137931,0.051724138,5.172413793
17933,1224,17.9,24,2,1,108,197.26336,675.18464,7.965354667,0.222222222,22.22222222,0.083333333,8.333333333,0.041666667,4.166666667
19536,1225,21.1,44,0,0,138,148.349572,748.849473,10.00833168,0.31884058,31.88405797,0,0,0,0
17848,1226,18.4,96,3,3,272,341.056602,1045.153282,11.73494467,0.352941176,35.29411765,0.03125,3.125,0.03125,3.125
18431,1227,22,32,2,3,134,216.830923,608.281869,6.524182433,0.23880597,23.88059701,0.0625,6.25,0.09375,9.375
18068,1228,17.9,16,0,0,101,220.803646,486.329722,4.4254346,0.158415842,15.84158416,0,0,0,0
18100,1229,16.3,25,0,0,173,397.830228,900.100533,8.37117175,0.144508671,14.45086705,0,0,0,0
18742,1230,17.7,34,4,16,239,122.196411,758.250223,10.60089687,0.142259414,14.22594142,0.117647059,11.76470588,0.470588235,47.05882353
17919,1231,22.1,37,1,2,140,190.972017,805.322781,10.2391794,0.264285714,26.42857143,0.027027027,2.702702703,0.054054054,5.405405405
19615,1232,14.1,21,1,1,74,203.742447,650.864871,7.4520404,0.283783784,28.37837838,0.047619048,4.761904762,0.047619048,4.761904762
19954,1233,12.3,14,0,0,106,69.513686,374.976376,5.091044833,0.132075472,13.20754717,0,0,0,0
18996,1234,15.9,35,0,0,112,6.428163,411.273179,6.747416933,0.3125,31.25,0,0,0,0
19544,1235,13.8,30,0,0,101,71.741757,715.142441,10.72334473,0.297029703,29.7029703,0,0,0,0
19694,1236,15.2,23,1,0,77,111.417583,474.738641,6.055350967,0.298701299,29.87012987,0.043478261,4.347826087,0,0
21015,1237,13,13,0,0,51,46.438163,365.185431,5.312454467,0.254901961,25.49019608,0,0,0,0
19859,1238,14.4,0,0,0,9,1222.68069,1408.648462,3.099462867,0,0,0,0,0,0
avg,,,31.63888889,0.944444444,1.861111111,128.3888889,,,8.459711542,,23.43230426,,2.891582865,,5.071677316
max,,,96,5,16,272,,,15.53579703,,40.69767442,,14.28571429,,47.05882353
min,,,0,0,0,9,,,3.099462867,,0,,0,,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
avg,,,,,,,,,,,,,,,
med,,18.2,,,,,,,,,,,,,
std,,3.271696807,,,,,,,,,,,,,