subID,total anaphora utt,num one,num split,num pronoun,% one,% split,% pronoun,overall accuracy,% one accurate,% split accurate,% pronoun accurate,age
1201,25,,,,0,0,1,0.6,-,-,0.6,24.3
1202,42,,,,0.023809524,0.285714286,0.69047619,0.571428571,1,0.166666667,0.724137931,20.7
1204,9,,,,0,0,1,0.666666667,-,-,0.666666667,18.2
1205,19,1,0,18,0.052631579,0,0.947368421,1,1,-,0.611111111,18.1
1206,31,3,0,28,0.096774194,0,0.903225806,0.903225806,1,-,0.892857143,17.5
1207,56,1,0,55,0.017857143,0,0.982142857,0.482142857,1,-,0.472727273,25.3
1208,36,3,4,29,0.083333333,0.111111111,0.805555556,0.75,0.333333333,0.5,0.827586207,15.2
1209,8,0,0,8,0,0,1,0.25,-,-,0.25,16.2
1210,48,0,20,28,0,0.416666667,0.583333333,0.6875,-,0.6,0.75,19.2
1211,68,0,0,68,0,0,1,0.764705882,-,-,0.764705882,24.2
1212,82,4,1,77,0.048780488,0.012195122,0.93902439,0.743902439,1,1,0.727272727,21.7
1213,104,7,50,47,0.067307692,0.480769231,0.451923077,0.442307692,0.857142857,0.24,0.595744681,17.3
1214,27,4,0,23,0.148148148,0,0.851851852,0.444444444,1,-,0.347826087,18.5
1215,18,0,0,18,0,0,1,0.5,-,-,0.5,18.2
1216,37,0,8,29,0,0.216216216,0.783783784,0.621621622,-,0.75,0.586206897,17.8
1218,79,0,4,75,0,0.050632911,0.949367089,0.443037975,-,0,0.466666667,21.5
1219,29,1,0,28,0.034482759,0,0.965517241,0.793103448,0,-,0.821428571,19.7
1220,52,5,0,47,0.096153846,0,0.903846154,0.480769231,0.8,-,0.446808511,19.6
1221,24,3,2,19,0.125,0.083333333,0.791666667,0.583333333,0.666666667,0.5,0.578947368,21.6
1222,31,0,0,31,0,0,1,0.870967742,-,-,0.870967742,22.1
1223,105,12,8,85,0.114285714,0.076190476,0.80952381,0.60952381,0.833333333,0.375,0.6,21.8
1224,36,2,2,32,0.055555556,0.055555556,0.888888889,0.666666667,1,1,0.625,17.9
1225,46,2,0,44,0.043478261,0,0.956521739,0.695652174,1,-,0.681818182,21.1
1226,128,7,13,108,0.0546875,0.1015625,0.84375,0.4921875,0.285714286,0.230769231,0.537037037,18.4
1227,51,5,10,36,0.098039216,0.196078431,0.705882353,0.62745098,0.2,0.2,0.805555556,22
1228,20,0,0,20,0,0,1,0.45,-,-,0.45,17.9
1229,40,0,0,40,0,0,1,0.75,-,-,0.75,16.3
1230,124,4,81,39,0.032258065,0.653225806,0.314516129,0.411290323,0.75,0.259259259,0.692307692,17.7
1231,46,1,5,40,0.02173913,0.108695652,0.869565217,0.608695652,1,0.6,0.6,22.1
1232,25,0,2,23,0,0.08,0.92,0.48,-,0,0.52173913,14.1
1233,20,1,0,19,0.05,0,0.95,0.75,1,-,0.736842105,12.3
1234,43,0,0,43,0,0,1,0.627906977,-,-,0.627906977,15.9
1235,22,4,0,18,0.181818182,0,0.818181818,0.454545455,0.5,-,0.444444444,13.8
1236,28,3,0,25,0.107142857,0,0.892857143,0.392857143,0.333333333,-,0.4,15.2
1237,13,1,0,12,0.076923077,0,0.923076923,0.769230769,0,-,0.833333333,13