subID,age,MCDI ProdTotal,MCDI ProdCountNoun,total num utt,total num anaphora,anaphora/total utt,percent one,percent split,percent pronoun,percent verbal,percent visual,overall accuracy,one accuracy,split accuracy,pronoun accuracy,verbal cue accuracy,visual cue accuracy
1202,20.7,505,196,133,34,25.56390977,2.9411765,11.7647059,85.2941176,67.6470588,32.3529412,0.647058824,1,0.5,0.655172414,0.52173913,0.909090909
1204,18.2,81,33,77,9,11.68831169,0,0,100,88.8888889,11.1111111,0.666666667,0,0,0.666666667,0.625,1
1205,18.1,44,16,117,19,16.23931624,5.2631579,0,94.7368421,47.3684211,52.6315789,0.578947368,1,0,0.555555556,0.555555556,0.6
1206,17.5,9,4,86,31,36.04651163,9.6774194,0,90.3225806,48.3870968,51.6129032,0.903225806,1,0,0.892857143,0.8,1
1207,25.3,66,26,172,56,32.55813953,1.7857143,0,98.2142857,60.7142857,39.2857143,0.482142857,1,0,0.472727273,0.529411765,0.409090909
1209,16.2,76,36,64,8,12.5,0,0,100,25,75,0.25,0,0,0.25,0.5,0.166666667
1210,19.2,80,34,125,37,29.6,0,24.3243243,75.6756757,75.6756757,24.3243243,0.648648649,0,0.444444444,0.714285714,0.714285714,0.444444444
1211,24.2,295,127,127,68,53.54330709,0,0,100,70.5882353,29.4117647,0.735294118,0,0,0.735294118,0.75,0.7
1212,21.7,226,94,172,82,47.6744186,4.8780488,1.2195122,93.902439,54.8780488,45.1219512,0.719512195,1,1,0.701298701,0.755555556,0.675675676
1213,17.3,16,1,258,67,25.96899225,10.4477612,19.4029851,70.1492537,68.6567164,31.3432836,0.52238806,0.857142857,0.230769231,0.553191489,0.47826087,0.619047619
1214,18.5,42,13,118,27,22.88135593,14.8148148,0,85.1851852,22.2222222,77.7777778,0.444444444,1,0,0.347826087,0.333333333,0.476190476
1215,18.2,30,2,60,18,30,0,0,100,66.6666667,33.3333333,0.5,0,0,0.5,0.583333333,0.333333333
1216,17.8,156,80,93,33,35.48387097,0,12.1212121,87.8787879,45.4545455,54.5454545,0.636363636,0,1,0.586206897,0.6,0.666666667
1218,21.5,411,154,154,77,50,0,2.5974026,97.4025974,79.2207792,20.7792208,0.402597403,0,0,0.413333333,0.409836066,0.375
1219,19.7,88,39,151,29,19.20529801,3.4482759,0,96.5517241,48.2758621,51.7241379,0.793103448,0,0,0.821428571,0.857142857,0.733333333
1220,19.6,92,43,173,52,30.05780347,9.6153846,0,90.3846154,44.2307692,55.7692308,0.461538462,0.8,0,0.425531915,0.260869565,0.620689655
1221,21.6,45,19,75,23,30.66666667,13.0434783,4.3478261,82.6086957,60.8695652,39.1304348,0.608695652,0.666666667,1,0.578947368,0.714285714,0.444444444
1222,22.1,114,46,158,31,19.62025316,0,0,100,93.5483871,6.4516129,0.870967742,0,0,0.870967742,0.896551724,0.5
1223,21.8,254,114,217,100,46.08294931,12,3,85,81,19,0.62,0.833333333,0.666666667,0.588235294,0.604938272,0.684210526
1224,17.9,25,5,108,35,32.40740741,5.7142857,2.8571429,91.4285714,71.4285714,28.5714286,0.6,0.5,1,0.59375,0.6,0.6
1225,21.1,22,8,138,46,33.33333333,4.3478261,0,95.6521739,52.173913,47.826087,0.608695652,0.5,0,0.613636364,0.75,0.454545455
1226,18.4,306,114,272,119,43.75,5.8823529,3.3613445,90.7563025,73.9495798,26.0504202,0.504201681,0.285714286,0.25,0.527777778,0.556818182,0.35483871
1227,22,443,155,134,44,32.8358209,11.3636364,6.8181818,81.8181818,65.9090909,34.0909091,0.613636364,0,0,0.75,0.724137931,0.4
1228,17.9,44,23,101,20,19.8019802,0,0,100,60,40,0.45,0,0,0.45,0.333333333,0.625
1229,16.3,36,9,173,40,23.12138728,0,0,100,70,30,0.725,0,0,0.725,0.785714286,0.583333333
1230,17.7,127,68,239,59,24.68619247,6.779661,27.1186441,66.1016949,42.3728814,57.6271186,0.525423729,0.75,0.25,0.615384615,0.48,0.558823529
1231,22.1,143,77,140,43,30.71428571,2.3255814,4.6511628,93.0232558,48.8372093,51.1627907,0.558139535,1,0.5,0.55,0.571428571,0.545454545