subID,age,num same roi,total utter,percent same
1201,24.3,9,25,36
1202,20.7,26,42,61.9047619
1204,18.2,8,9,88.88888889
1205,18.1,10,19,52.63157895
1206,17.5,30,31,96.77419355
1207,25.3,0,56,0
1208,15.2,24,36,66.66666667
1209,16.2,6,8,75
1210,19.2,56,48,116.6666667
1211,24.2,68,68,100
1212,21.7,60,82,73.17073171
1213,17.3,69,104,66.34615385
1214,18.5,19,27,70.37037037
1215,18.2,6,18,33.33333333
1216,17.8,28,37,75.67567568
1218,21.5,60,79,75.94936709
1219,19.7,19,29,65.51724138
1220,19.6,27,52,51.92307692
1221,21.6,14,24,58.33333333
1222,22.1,29,31,93.5483871
1223,21.8,85,105,80.95238095
1224,17.9,24,36,66.66666667
1225,21.1,38,46,82.60869565
1226,18.4,63,128,49.21875
1227,22,29,51,56.8627451
1228,17.9,9,20,45
1229,16.3,26,40,65
1230,17.7,147,124,118.5483871
1231,22.1,33,46,71.73913043
1232,14.1,9,25,36
1233,12.3,15,20,75
1234,15.9,30,43,69.76744186
1235,13.8,7,22,31.81818182
1236,15.2,0,28,0
1237,13,10,13,76.92307692
,,,,65.28016811